,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/22,15:01:00,6.7,6.26,6.69,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:01:05,6.7,6.26,6.68,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:01:10,6.7,6.25,6.68,6.17,0,0,0,0,0,0,0,0
2021/09/22,15:01:15,6.7,6.26,6.66,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:01:20,6.7,6.26,6.68,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:01:25,6.7,6.26,6.68,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:01:30,6.7,6.24,6.66,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:01:35,6.7,6.24,6.66,6.15,0,0,0,0,0,0,0,0
2021/09/22,15:01:40,6.7,6.25,6.65,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:01:45,6.72,6.25,6.66,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:01:50,6.7,6.24,6.66,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:01:55,6.72,6.24,6.65,6.14,0,0,0,0,0,0,0,0
2021/09/22,15:02:00,6.72,6.22,6.65,6.13,0,0,0,0,0,0,0,0
2021/09/22,15:02:05,6.72,6.32,6.75,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:02:10,6.7,6.34,6.75,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:02:15,6.7,6.32,6.75,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:02:20,6.72,6.32,6.75,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:02:25,6.7,6.31,6.75,6.23,0,0,0,0,0,0,0,0
2021/09/22,15:02:30,6.7,6.31,6.74,6.21,0,0,0,0,0,0,0,0
2021/09/22,15:02:35,6.7,6.32,6.74,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:02:40,6.7,6.32,6.75,6.2,0,0,0,0,0,0,0,0
2021/09/22,15:02:45,6.7,6.31,6.74,6.21,0,0,0,0,0,0,0,0
2021/09/22,15:02:50,6.69,6.3,6.74,6.21,0,0,0,0,0,0,0,0
